name,category,color,price,rating,image_url,description
"Red Floral Dress","dress","red",150.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Beautiful red floral dress perfect for summer"
"Blue Denim Jeans","jeans","blue",89.99,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic blue denim jeans with comfortable fit"
"Black Leather Jacket","jacket","black",299.99,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Premium black leather jacket for any occasion"
"White Cotton T-Shirt","shirt","white",25.99,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Soft white cotton t-shirt for everyday wear"
"Green Summer Dress","dress","green",120.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Light green summer dress with elegant design"
"Dark Blue Hoodie","hoodie","blue",75.50,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable dark blue hoodie for casual wear"
"Pink Blouse","blouse","pink",65.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish pink blouse perfect for office wear"
"Black Skinny Jeans","jeans","black",95.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Trendy black skinny jeans with stretch fabric"
"Red Sneakers","shoes","red",110.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable red sneakers for sports and casual wear"
"Yellow Sundress","dress","yellow",85.99,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Bright yellow sundress perfect for beach days"
"Grey Sweatshirt","sweatshirt","grey",55.00,4.0,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Cozy grey sweatshirt for cool weather"
"Purple Evening Gown","dress","purple",350.00,4.9,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant purple evening gown for special occasions"
"Brown Boots","shoes","brown",180.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Durable brown leather boots for outdoor activities"
"Navy Blue Blazer","blazer","blue",220.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Professional navy blue blazer for business meetings"
"Orange Tank Top","tank","orange",35.00,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Bright orange tank top for summer workouts"
"Black Formal Dress","dress","black",280.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant black formal dress for special events"
"Beige Trench Coat","coat","beige",320.00,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic beige trench coat for all seasons"
"White Sneakers","shoes","white",95.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Clean white sneakers for everyday wear"
"Striped Shirt","shirt","blue",45.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic striped shirt for casual style"
"Red Cardigan","cardigan","red",85.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Warm red cardigan for chilly days"
"Black High Heels","shoes","black",150.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish black high heels for formal occasions"
"Denim Jacket","jacket","blue",125.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic denim jacket for layering"
"Green Polo Shirt","shirt","green",55.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable green polo shirt for casual wear"
"Brown Leather Bag","bag","brown",120.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Premium brown leather handbag"
"Pink Dress","dress","pink",165.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Lovely pink dress for spring occasions"
"Black Pants","pants","black",70.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Professional black dress pants"
"Blue Polo Shirt","shirt","blue",50.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic blue polo shirt"
"Red Scarf","accessory","red",30.00,4.0,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Soft red scarf for winter warmth"
"White Dress Shirt","shirt","white",65.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Crisp white dress shirt for business"
"Black Jeans","jeans","black",95.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Versatile black jeans for any occasion"
"Grey Dress","dress","grey",140.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Sophisticated grey dress for office wear"
"Brown Sandals","shoes","brown",75.00,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable brown leather sandals"
"Blue Suit Jacket","blazer","blue",250.00,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Sharp blue suit jacket for formal events"
"White Skirt","skirt","white",60.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant white pencil skirt"
"Green Jacket","jacket","green",185.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish green utility jacket"
"Black Dress Shoes","shoes","black",140.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic black leather dress shoes"
"Red Blouse","blouse","red",70.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Vibrant red blouse for work or play"
"Blue Dress","dress","blue",155.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Beautiful blue midi dress"
"Black Sweater","sweater","black",90.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Cozy black wool sweater"
"Brown Belt","accessory","brown",35.00,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic brown leather belt"
"White Sneakers Premium","shoes","white",130.00,4.8,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Premium white leather sneakers"
"Grey Hoodie","hoodie","grey",80.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Comfortable grey pullover hoodie"
"Pink Shirt","shirt","pink",40.00,4.0,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Soft pink cotton shirt"
"Black Skirt","skirt","black",65.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Versatile black A-line skirt"
"Blue Jeans Light","jeans","blue",85.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Light wash blue denim jeans"
"Red Jacket","jacket","red",165.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Bold red bomber jacket"
"White Blouse","blouse","white",55.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Crisp white office blouse"
"Black Boots","shoes","black",160.00,4.7,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Stylish black ankle boots"
"Green Sweater","sweater","green",95.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Warm green knit sweater"
"Purple Scarf","accessory","purple",28.00,4.1,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Elegant purple silk scarf"
"Brown Jacket","jacket","brown",195.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Rich brown leather jacket"
"Blue Skirt","skirt","blue",58.00,4.2,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Flowy blue maxi skirt"
"Grey Pants","pants","grey",75.00,4.3,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Smart grey dress pants"
"Orange Dress","dress","orange",135.00,4.4,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Vibrant orange summer dress"
"Black Belt","accessory","black",32.00,4.0,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Classic black leather belt"
"White Jacket","jacket","white",175.00,4.6,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Clean white blazer jacket"
"Blue Sweater","sweater","blue",88.00,4.5,"https://i.pinimg.com/736x/b7/73/27/b77327bb3e150b2d21e5a3a4acf2dbcb.jpg","Cozy blue cable knit sweater" 